from_concept,to_concept,weight
Artificial Intelligence in Law,Computer science,2
Artificial Intelligence in Law,Ethics and Social Impacts of AI,1
Artificial Intelligence in Law,Flourishing,1
Artificial Intelligence in Law,Globalization,1
Artificial Intelligence in Law,Law,2
Artificial Intelligence in Law,Law and economics,1
Artificial Intelligence in Law,"Law, AI, and Intellectual Property",2
Artificial Intelligence in Law,Legal aspects of computing,2
Artificial Intelligence in Law,Philosophy of law,2
Artificial Intelligence in Law,Political science,2
Artificial Intelligence in Law,Politics,1
Artificial Intelligence in Law,Psychology,1
Artificial Intelligence in Law,Psychotherapist,1
Artificial Intelligence in Law,Public law,1
Artificial Intelligence in Law,Rule of law,1
Artificial Intelligence in Law,Sociology,1
Artificial Intelligence in Law,The Internet,2
Artificial Intelligence in Law,Transparency (behavior),1
Artificial Intelligence in Law,World Wide Web,2
Computer science,Flourishing,1
Computer science,Globalization,1
Computer science,Law and economics,1
Computer science,Legal aspects of computing,3
Computer science,Philosophy of law,2
Computer science,Psychotherapist,1
Computer science,Public law,1
Computer science,Rule of law,1
Computer science,The Internet,7
Ethics and Social Impacts of AI,Flourishing,1
Ethics and Social Impacts of AI,Globalization,1
Ethics and Social Impacts of AI,"Law, AI, and Intellectual Property",1
Ethics and Social Impacts of AI,Legal aspects of computing,1
Ethics and Social Impacts of AI,Philosophy of law,1
Ethics and Social Impacts of AI,Psychotherapist,1
Ethics and Social Impacts of AI,Public law,1
Ethics and Social Impacts of AI,Rule of law,1
Ethics and Social Impacts of AI,The Internet,2
Flourishing,Globalization,1
Flourishing,Law,1
Flourishing,Law and economics,1
Flourishing,"Law, AI, and Intellectual Property",1
Flourishing,Legal aspects of computing,1
Flourishing,Philosophy of law,1
Flourishing,Political science,1
Flourishing,Politics,1
Flourishing,Psychology,1
Flourishing,Psychotherapist,1
Flourishing,Public law,1
Flourishing,Rule of law,1
Flourishing,Sociology,1
Flourishing,The Internet,1
Flourishing,Transparency (behavior),1
Flourishing,World Wide Web,1
Globalization,Law,1
Globalization,Law and economics,1
Globalization,"Law, AI, and Intellectual Property",1
Globalization,Legal aspects of computing,1
Globalization,Philosophy of law,1
Globalization,Political science,1
Globalization,Politics,1
Globalization,Psychology,1
Globalization,Psychotherapist,1
Globalization,Public law,1
Globalization,Rule of law,1
Globalization,Sociology,1
Globalization,The Internet,1
Globalization,Transparency (behavior),1
Globalization,World Wide Web,1
Law,Legal aspects of computing,3
Law,Philosophy of law,2
Law,Psychotherapist,1
Law,Public law,1
Law,Rule of law,1
Law,The Internet,4
Law and economics,"Law, AI, and Intellectual Property",1
Law and economics,Legal aspects of computing,1
Law and economics,Philosophy of law,1
Law and economics,Psychotherapist,1
Law and economics,Public law,1
Law and economics,Rule of law,1
Law and economics,The Internet,1
Law and economics,World Wide Web,1
"Law, AI, and Intellectual Property",Legal aspects of computing,2
"Law, AI, and Intellectual Property",Philosophy of law,2
"Law, AI, and Intellectual Property",Psychology,1
"Law, AI, and Intellectual Property",Psychotherapist,1
"Law, AI, and Intellectual Property",Public law,1
"Law, AI, and Intellectual Property",Rule of law,1
"Law, AI, and Intellectual Property",The Internet,2
"Law, AI, and Intellectual Property",Transparency (behavior),1
"Law, AI, and Intellectual Property",World Wide Web,2
Legal aspects of computing,Philosophy of law,2
Legal aspects of computing,Political science,3
Legal aspects of computing,Politics,1
Legal aspects of computing,Psychology,1
Legal aspects of computing,Psychotherapist,1
Legal aspects of computing,Public law,1
Legal aspects of computing,Rule of law,1
Legal aspects of computing,Sociology,1
Legal aspects of computing,The Internet,3
Legal aspects of computing,Transparency (behavior),1
Legal aspects of computing,World Wide Web,3
Philosophy of law,Political science,2
Philosophy of law,Politics,1
Philosophy of law,Psychology,1
Philosophy of law,Psychotherapist,1
Philosophy of law,Public law,1
Philosophy of law,Rule of law,1
Philosophy of law,Sociology,1
Philosophy of law,The Internet,2
Philosophy of law,Transparency (behavior),1
Philosophy of law,World Wide Web,2
Political science,Psychotherapist,1
Political science,Public law,1
Political science,Rule of law,1
Political science,The Internet,4
Politics,Psychotherapist,1
Politics,Public law,1
Politics,Rule of law,1
Politics,The Internet,1
Psychology,Psychotherapist,1
Psychology,Public law,1
Psychology,Rule of law,1
Psychology,The Internet,1
Psychotherapist,Public law,1
Psychotherapist,Rule of law,1
Psychotherapist,Sociology,1
Psychotherapist,The Internet,1
Psychotherapist,Transparency (behavior),1
Psychotherapist,World Wide Web,1
Public law,Rule of law,1
Public law,Sociology,1
Public law,The Internet,1
Public law,Transparency (behavior),1
Public law,World Wide Web,1
Rule of law,Sociology,1
Rule of law,The Internet,1
Rule of law,Transparency (behavior),1
Rule of law,World Wide Web,1
Sociology,The Internet,2
Sociology,World Wide Web,2
The Internet,Transparency (behavior),2
The Internet,World Wide Web,7
Transparency (behavior),World Wide Web,2
Artificial intelligence,Occupational Health and Safety Research,2
Computer science,Occupational Health and Safety Research,2
Data science,Occupational Health and Safety Research,1
Engineering,Occupational Health and Safety Research,2
Explainable Artificial Intelligence (XAI),Occupational Health and Safety Research,1
Management science,Occupational Health and Safety Research,1
Argumentation framework,Argumentation theory,1
Argumentation framework,Artificial intelligence,1
Argumentation framework,Computer science,1
Argumentation framework,Data science,1
Argumentation framework,Engineering,1
Argumentation framework,Epistemology,1
Argumentation framework,Explainable Artificial Intelligence (XAI),1
Argumentation framework,Implementation,1
Argumentation framework,Management science,1
Argumentation framework,Multi-Agent Systems and Negotiation,1
Argumentation framework,Philosophy,1
Argumentation framework,Probabilistic argumentation,1
Argumentation framework,Probabilistic logic,1
Argumentation framework,Software engineering,1
Argumentation framework,Topic Modeling,1
Argumentation theory,Artificial intelligence,1
Argumentation theory,Computer science,1
Argumentation theory,Data science,1
Argumentation theory,Engineering,1
Argumentation theory,Epistemology,1
Argumentation theory,Explainable Artificial Intelligence (XAI),1
Argumentation theory,Implementation,1
Argumentation theory,Management science,1
Argumentation theory,Multi-Agent Systems and Negotiation,1
Argumentation theory,Philosophy,1
Argumentation theory,Probabilistic argumentation,1
Argumentation theory,Probabilistic logic,1
Argumentation theory,Software engineering,1
Argumentation theory,Topic Modeling,1
Artificial intelligence,Implementation,5
Artificial intelligence,Multi-Agent Systems and Negotiation,1
Artificial intelligence,Probabilistic argumentation,1
Artificial intelligence,Probabilistic logic,2
Computer science,Implementation,5
Computer science,Multi-Agent Systems and Negotiation,1
Computer science,Probabilistic argumentation,1
Computer science,Probabilistic logic,2
Data science,Implementation,3
Data science,Multi-Agent Systems and Negotiation,1
Data science,Probabilistic argumentation,1
Data science,Probabilistic logic,1
Data science,Software engineering,6
Engineering,Implementation,1
Engineering,Multi-Agent Systems and Negotiation,1
Engineering,Probabilistic argumentation,1
Engineering,Probabilistic logic,1
Epistemology,Explainable Artificial Intelligence (XAI),7
Epistemology,Implementation,2
Epistemology,Multi-Agent Systems and Negotiation,1
Epistemology,Probabilistic argumentation,1
Epistemology,Probabilistic logic,1
Explainable Artificial Intelligence (XAI),Implementation,1
Explainable Artificial Intelligence (XAI),Multi-Agent Systems and Negotiation,1
Explainable Artificial Intelligence (XAI),Philosophy,8
Explainable Artificial Intelligence (XAI),Probabilistic argumentation,1
Explainable Artificial Intelligence (XAI),Probabilistic logic,2
Explainable Artificial Intelligence (XAI),Software engineering,2
Explainable Artificial Intelligence (XAI),Topic Modeling,3
Implementation,Management science,1
Implementation,Multi-Agent Systems and Negotiation,1
Implementation,Philosophy,2
Implementation,Probabilistic argumentation,1
Implementation,Probabilistic logic,1
Implementation,Software engineering,3
Implementation,Topic Modeling,1
Management science,Multi-Agent Systems and Negotiation,1
Management science,Probabilistic argumentation,1
Management science,Probabilistic logic,1
Management science,Topic Modeling,1
Multi-Agent Systems and Negotiation,Philosophy,1
Multi-Agent Systems and Negotiation,Probabilistic argumentation,1
Multi-Agent Systems and Negotiation,Probabilistic logic,1
Multi-Agent Systems and Negotiation,Software engineering,1
Multi-Agent Systems and Negotiation,Topic Modeling,1
Philosophy,Probabilistic argumentation,1
Philosophy,Probabilistic logic,1
Probabilistic argumentation,Probabilistic logic,1
Probabilistic argumentation,Software engineering,1
Probabilistic argumentation,Topic Modeling,1
Probabilistic logic,Software engineering,1
Probabilistic logic,Topic Modeling,1
Software engineering,Topic Modeling,2
Artificial Intelligence in Healthcare and Education,Economics,6
Artificial Intelligence in Healthcare and Education,Management,1
Artificial Intelligence in Healthcare and Education,Management science,2
Artificial Intelligence in Healthcare and Education,Perspective (graphical),2
Artificial Intelligence in Healthcare and Education,Stakeholder,1
Artificial intelligence,Stakeholder,1
Computer science,Stakeholder,1
Economics,Engineering,16
Economics,Ethics and Social Impacts of AI,5
Economics,Explainable Artificial Intelligence (XAI),4
Economics,Knowledge management,8
Economics,Management science,4
Economics,Stakeholder,1
Engineering,Management,5
Engineering,Stakeholder,1
Ethics and Social Impacts of AI,Management,2
Ethics and Social Impacts of AI,Stakeholder,1
Explainable Artificial Intelligence (XAI),Management,2
Explainable Artificial Intelligence (XAI),Perspective (graphical),1
Explainable Artificial Intelligence (XAI),Stakeholder,1
Knowledge management,Management,4
Knowledge management,Perspective (graphical),2
Knowledge management,Stakeholder,1
Management,Management science,1
Management,Stakeholder,1
Management science,Stakeholder,1
Perspective (graphical),Stakeholder,1
Advanced Neural Network Applications,Adversarial Robustness in Machine Learning,1
Advanced Neural Network Applications,Biochemistry,1
Advanced Neural Network Applications,Chemistry,1
Advanced Neural Network Applications,Explainable Artificial Intelligence (XAI),2
Advanced Neural Network Applications,Field (mathematics),1
Advanced Neural Network Applications,Gene,1
Advanced Neural Network Applications,Law,1
Advanced Neural Network Applications,Political science,1
Advanced Neural Network Applications,Pure mathematics,1
Advanced Neural Network Applications,Relevance (law),1
Advanced Neural Network Applications,Robustness (evolution),1
Adversarial Robustness in Machine Learning,Data science,5
Adversarial Robustness in Machine Learning,Relevance (law),2
Biochemistry,Data science,1
Biochemistry,Field (mathematics),2
Biochemistry,Mathematics,3
Biochemistry,Pure mathematics,2
Biochemistry,Relevance (law),1
Chemistry,Field (mathematics),2
Chemistry,Mathematics,4
Chemistry,Pure mathematics,2
Chemistry,Relevance (law),1
Data science,Deep neural networks,2
Data science,Gene,1
Data science,Robustness (evolution),1
Deep learning,Law,9
Deep learning,Political science,9
Deep learning,Relevance (law),1
Deep neural networks,Explainable Artificial Intelligence (XAI),3
Deep neural networks,Law,2
Deep neural networks,Political science,2
Deep neural networks,Relevance (law),1
Explainable Artificial Intelligence (XAI),Gene,2
Explainable Artificial Intelligence (XAI),Relevance (law),2
Explainable Artificial Intelligence (XAI),Robustness (evolution),2
Field (mathematics),Gene,2
Field (mathematics),Relevance (law),1
Field (mathematics),Robustness (evolution),1
Gene,Law,1
Gene,Mathematics,3
Gene,Political science,1
Gene,Pure mathematics,2
Gene,Relevance (law),1
Law,Robustness (evolution),1
Mathematics,Relevance (law),2
Mathematics,Robustness (evolution),2
Political science,Robustness (evolution),1
Pure mathematics,Relevance (law),1
Pure mathematics,Robustness (evolution),1
Relevance (law),Robustness (evolution),1
Blueprint,Business,1
Blueprint,Computer science,1
Blueprint,Economic growth,1
Blueprint,Economics,1
Blueprint,Engineering,1
Blueprint,Epistemology,1
Blueprint,IoT and Edge/Fog Computing,1
Blueprint,Law,1
Blueprint,Management science,1
Blueprint,Marketing,1
Blueprint,Mechanical engineering,1
Blueprint,Philosophy,1
Blueprint,Political science,1
Blueprint,Process management,1
Blueprint,Prosperity,1
Blueprint,SWOT analysis,1
Blueprint,Strengths and weaknesses,1
Blueprint,Sustainable development,1
Business,Economic growth,5
Business,Economics,7
Business,IoT and Edge/Fog Computing,1
Business,Management science,1
Business,Mechanical engineering,1
Business,Prosperity,1
Business,SWOT analysis,1
Business,Sustainable development,1
Computer science,Economic growth,10
Computer science,Prosperity,1
Computer science,SWOT analysis,1
Computer science,Sustainable development,1
Economic growth,Engineering,6
Economic growth,Epistemology,2
Economic growth,IoT and Edge/Fog Computing,1
Economic growth,Law,2
Economic growth,Management science,1
Economic growth,Marketing,2
Economic growth,Mechanical engineering,2
Economic growth,Philosophy,3
Economic growth,Political science,3
Economic growth,Process management,2
Economic growth,Prosperity,1
Economic growth,SWOT analysis,1
Economic growth,Strengths and weaknesses,1
Economic growth,Sustainable development,1
Economics,Epistemology,4
Economics,IoT and Edge/Fog Computing,1
Economics,Law,5
Economics,Marketing,2
Economics,Mechanical engineering,5
Economics,Political science,6
Economics,Process management,4
Economics,Prosperity,1
Economics,SWOT analysis,1
Economics,Strengths and weaknesses,1
Economics,Sustainable development,1
Engineering,IoT and Edge/Fog Computing,1
Engineering,Marketing,2
Engineering,Prosperity,1
Engineering,SWOT analysis,1
Engineering,Sustainable development,1
Epistemology,IoT and Edge/Fog Computing,1
Epistemology,Marketing,2
Epistemology,Mechanical engineering,2
Epistemology,Process management,1
Epistemology,Prosperity,1
Epistemology,SWOT analysis,1
Epistemology,Sustainable development,1
IoT and Edge/Fog Computing,Law,1
IoT and Edge/Fog Computing,Management science,1
IoT and Edge/Fog Computing,Marketing,1
IoT and Edge/Fog Computing,Mechanical engineering,1
IoT and Edge/Fog Computing,Philosophy,1
IoT and Edge/Fog Computing,Political science,1
IoT and Edge/Fog Computing,Process management,1
IoT and Edge/Fog Computing,Prosperity,1
IoT and Edge/Fog Computing,SWOT analysis,1
IoT and Edge/Fog Computing,Strengths and weaknesses,1
IoT and Edge/Fog Computing,Sustainable development,1
Law,Prosperity,1
Law,SWOT analysis,1
Law,Sustainable development,1
Management science,Marketing,1
Management science,Mechanical engineering,1
Management science,Process management,1
Management science,Prosperity,1
Management science,SWOT analysis,1
Management science,Strengths and weaknesses,1
Management science,Sustainable development,1
Marketing,Mechanical engineering,1
Marketing,Philosophy,2
Marketing,Process management,2
Marketing,Prosperity,1
Marketing,SWOT analysis,1
Marketing,Strengths and weaknesses,1
Marketing,Sustainable development,1
Mechanical engineering,Philosophy,2
Mechanical engineering,Process management,1
Mechanical engineering,Prosperity,1
Mechanical engineering,SWOT analysis,1
Mechanical engineering,Strengths and weaknesses,1
Mechanical engineering,Sustainable development,1
Philosophy,Process management,2
Philosophy,Prosperity,1
Philosophy,SWOT analysis,1
Philosophy,Sustainable development,1
Political science,Prosperity,1
Political science,SWOT analysis,1
Political science,Sustainable development,1
Process management,Prosperity,1
Process management,SWOT analysis,1
Process management,Strengths and weaknesses,1
Process management,Sustainable development,1
Prosperity,SWOT analysis,1
Prosperity,Strengths and weaknesses,1
Prosperity,Sustainable development,1
SWOT analysis,Strengths and weaknesses,1
SWOT analysis,Sustainable development,1
Strengths and weaknesses,Sustainable development,1
Accounting,Applications of artificial intelligence,1
Accounting,Archaeology,1
Accounting,Artificial intelligence,4
Accounting,Biology,2
Accounting,Digital literacy in education,1
Accounting,German,1
Accounting,History,1
Accounting,Literacy,1
Accounting,Paleontology,2
Accounting,Pedagogy,1
Accounting,Test (biology),1
Applications of artificial intelligence,Archaeology,1
Applications of artificial intelligence,Biology,1
Applications of artificial intelligence,Business,1
Applications of artificial intelligence,Digital literacy in education,1
Applications of artificial intelligence,German,1
Applications of artificial intelligence,History,1
Applications of artificial intelligence,Literacy,1
Applications of artificial intelligence,Mathematics education,1
Applications of artificial intelligence,Online Learning and Analytics,1
Applications of artificial intelligence,Paleontology,1
Applications of artificial intelligence,Pedagogy,1
Applications of artificial intelligence,Psychology,1
Applications of artificial intelligence,Test (biology),1
Applications of artificial intelligence,Variance (accounting),1
Archaeology,Artificial intelligence,5
Archaeology,Biology,1
Archaeology,Business,1
Archaeology,Computer science,6
Archaeology,Digital literacy in education,1
Archaeology,German,2
Archaeology,History,4
Archaeology,Literacy,1
Archaeology,Mathematics education,1
Archaeology,Online Learning and Analytics,1
Archaeology,Paleontology,1
Archaeology,Pedagogy,1
Archaeology,Psychology,2
Archaeology,Test (biology),1
Archaeology,Variance (accounting),1
Artificial intelligence,Digital literacy in education,1
Artificial intelligence,German,2
Artificial intelligence,History,4
Artificial intelligence,Test (biology),1
Artificial intelligence,Variance (accounting),2
Biology,Digital literacy in education,1
Biology,German,1
Biology,History,1
Biology,Test (biology),2
Biology,Variance (accounting),2
Business,Digital literacy in education,1
Business,German,1
Business,History,1
Business,Literacy,1
Business,Pedagogy,1
Business,Test (biology),1
Computer science,Digital literacy in education,1
Computer science,German,2
Computer science,History,4
Computer science,Test (biology),2
Digital literacy in education,German,1
Digital literacy in education,History,1
Digital literacy in education,Literacy,1
Digital literacy in education,Mathematics education,1
Digital literacy in education,Online Learning and Analytics,1
Digital literacy in education,Paleontology,1
Digital literacy in education,Pedagogy,1
Digital literacy in education,Psychology,1
Digital literacy in education,Test (biology),1
Digital literacy in education,Variance (accounting),1
German,History,2
German,Literacy,1
German,Mathematics education,1
German,Online Learning and Analytics,1
German,Paleontology,1
German,Pedagogy,1
German,Psychology,2
German,Test (biology),1
German,Variance (accounting),1
History,Literacy,1
History,Mathematics education,1
History,Online Learning and Analytics,1
History,Paleontology,1
History,Pedagogy,1
History,Psychology,2
History,Test (biology),1
History,Variance (accounting),1
Literacy,Test (biology),1
Literacy,Variance (accounting),1
Mathematics education,Test (biology),1
Online Learning and Analytics,Test (biology),2
Paleontology,Test (biology),1
Paleontology,Variance (accounting),2
Pedagogy,Test (biology),1
Pedagogy,Variance (accounting),1
Psychology,Test (biology),2
Test (biology),Variance (accounting),1
Anomaly Detection Techniques and Applications,Coronavirus,1
Anomaly Detection Techniques and Applications,Coronavirus disease 2019 (COVID-19),1
Anomaly Detection Techniques and Applications,Disease,1
Anomaly Detection Techniques and Applications,Infectious disease (medical specialty),1
Anomaly Detection Techniques and Applications,Machine Learning in Healthcare,1
Anomaly Detection Techniques and Applications,Pandemic,1
Anomaly Detection Techniques and Applications,Pathology,1
Anomaly Detection Techniques and Applications,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),1
Anomaly Detection Techniques and Applications,Support vector machine,1
Artificial intelligence,Coronavirus,1
COVID-19 diagnosis using AI,Coronavirus,1
COVID-19 diagnosis using AI,Machine Learning in Healthcare,2
COVID-19 diagnosis using AI,Support vector machine,1
Computer science,Coronavirus,1
Coronavirus,Coronavirus disease 2019 (COVID-19),1
Coronavirus,Deep learning,1
Coronavirus,Disease,1
Coronavirus,Infectious disease (medical specialty),1
Coronavirus,Machine Learning in Healthcare,1
Coronavirus,Machine learning,1
Coronavirus,Medicine,1
Coronavirus,Pandemic,1
Coronavirus,Pathology,1
Coronavirus,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),1
Coronavirus,Support vector machine,1
Coronavirus disease 2019 (COVID-19),Deep learning,2
Coronavirus disease 2019 (COVID-19),Machine Learning in Healthcare,1
Coronavirus disease 2019 (COVID-19),Machine learning,2
Coronavirus disease 2019 (COVID-19),Support vector machine,1
Deep learning,Disease,2
Deep learning,Infectious disease (medical specialty),2
Deep learning,Machine Learning in Healthcare,3
Deep learning,Pandemic,2
Deep learning,Pathology,4
Deep learning,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),1
Deep learning,Support vector machine,3
Disease,Machine Learning in Healthcare,1
Disease,Machine learning,2
Disease,Support vector machine,1
Infectious disease (medical specialty),Machine Learning in Healthcare,1
Infectious disease (medical specialty),Machine learning,2
Infectious disease (medical specialty),Support vector machine,1
Machine Learning in Healthcare,Pandemic,1
Machine Learning in Healthcare,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),1
Machine Learning in Healthcare,Support vector machine,1
Machine learning,Pandemic,2
Machine learning,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),1
Medicine,Support vector machine,2
Pandemic,Support vector machine,1
Pathology,Support vector machine,1
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Support vector machine,1
Advanced Memory and Neural Computing,Neural Networks and Reservoir Computing,2
Advanced Memory and Neural Computing,Neural dynamics and brain function,5
Neural Networks and Reservoir Computing,Neural dynamics and brain function,2
Artificial intelligence,Greenhouse Technology and Climate Control,1
Artificial intelligence,Recurrent neural network,6
Artificial intelligence,Smart Agriculture and AI,2
Artificial intelligence,Spectroscopy and Chemometric Analyses,1
Artificial intelligence,Task (project management),10
Artificial neural network,Greenhouse Technology and Climate Control,1
Artificial neural network,Recurrent neural network,6
Artificial neural network,Smart Agriculture and AI,2
Artificial neural network,Spectroscopy and Chemometric Analyses,1
Artificial neural network,Task (project management),7
Computer science,Greenhouse Technology and Climate Control,1
Computer science,Recurrent neural network,6
Computer science,Smart Agriculture and AI,2
Computer science,Spectroscopy and Chemometric Analyses,1
Computer science,Task (project management),10
Convolutional neural network,Economics,5
Convolutional neural network,Greenhouse Technology and Climate Control,1
Convolutional neural network,Management,4
Convolutional neural network,Pattern recognition (psychology),15
Convolutional neural network,Recurrent neural network,2
Convolutional neural network,Smart Agriculture and AI,2
Convolutional neural network,Spectroscopy and Chemometric Analyses,1
Convolutional neural network,Task (project management),4
Deep learning,Greenhouse Technology and Climate Control,1
Deep learning,Recurrent neural network,4
Deep learning,Smart Agriculture and AI,2
Deep learning,Spectroscopy and Chemometric Analyses,1
Deep learning,Task (project management),9
Economics,Greenhouse Technology and Climate Control,1
Economics,Pattern recognition (psychology),4
Economics,Recurrent neural network,2
Economics,Smart Agriculture and AI,1
Economics,Spectroscopy and Chemometric Analyses,1
Economics,Task (project management),7
Greenhouse Technology and Climate Control,Machine learning,1
Greenhouse Technology and Climate Control,Management,1
Greenhouse Technology and Climate Control,Pattern recognition (psychology),1
Greenhouse Technology and Climate Control,Recurrent neural network,1
Greenhouse Technology and Climate Control,Smart Agriculture and AI,1
Greenhouse Technology and Climate Control,Spectroscopy and Chemometric Analyses,1
Greenhouse Technology and Climate Control,Task (project management),1
Machine learning,Recurrent neural network,6
Machine learning,Smart Agriculture and AI,2
Machine learning,Spectroscopy and Chemometric Analyses,1
Machine learning,Task (project management),8
Management,Pattern recognition (psychology),3
Management,Recurrent neural network,2
Management,Smart Agriculture and AI,1
Management,Spectroscopy and Chemometric Analyses,1
Management,Task (project management),7
Pattern recognition (psychology),Recurrent neural network,3
Pattern recognition (psychology),Smart Agriculture and AI,2
Pattern recognition (psychology),Spectroscopy and Chemometric Analyses,1
Pattern recognition (psychology),Task (project management),3
Recurrent neural network,Smart Agriculture and AI,1
Recurrent neural network,Spectroscopy and Chemometric Analyses,1
Recurrent neural network,Task (project management),2
Smart Agriculture and AI,Spectroscopy and Chemometric Analyses,1
Smart Agriculture and AI,Task (project management),1
Spectroscopy and Chemometric Analyses,Task (project management),1
3D Surveying and Cultural Heritage,Archaeological Research and Protection,1
3D Surveying and Cultural Heritage,Archaeology,1
3D Surveying and Cultural Heritage,Artificial intelligence,1
3D Surveying and Cultural Heritage,Artificial neural network,1
3D Surveying and Cultural Heritage,Computer science,1
3D Surveying and Cultural Heritage,Cultural heritage,1
3D Surveying and Cultural Heritage,Geography,1
3D Surveying and Cultural Heritage,Image Processing and 3D Reconstruction,1
3D Surveying and Cultural Heritage,Machine learning,1
3D Surveying and Cultural Heritage,Supervised learning,1
3D Surveying and Cultural Heritage,Unsupervised learning,1
3D Surveying and Cultural Heritage,Variety (cybernetics),1
Archaeological Research and Protection,Archaeology,1
Archaeological Research and Protection,Artificial intelligence,1
Archaeological Research and Protection,Artificial neural network,1
Archaeological Research and Protection,Computer science,1
Archaeological Research and Protection,Cultural heritage,1
Archaeological Research and Protection,Geography,1
Archaeological Research and Protection,Image Processing and 3D Reconstruction,1
Archaeological Research and Protection,Machine learning,1
Archaeological Research and Protection,Supervised learning,1
Archaeological Research and Protection,Unsupervised learning,1
Archaeological Research and Protection,Variety (cybernetics),1
Archaeology,Artificial neural network,1
Archaeology,Cultural heritage,1
Archaeology,Geography,3
Archaeology,Image Processing and 3D Reconstruction,1
Archaeology,Machine learning,2
Archaeology,Supervised learning,1
Archaeology,Unsupervised learning,1
Archaeology,Variety (cybernetics),1
Artificial intelligence,Cultural heritage,1
Artificial intelligence,Image Processing and 3D Reconstruction,1
Artificial intelligence,Supervised learning,2
Artificial neural network,Cultural heritage,1
Artificial neural network,Geography,5
Artificial neural network,Image Processing and 3D Reconstruction,1
Artificial neural network,Supervised learning,2
Artificial neural network,Unsupervised learning,1
Artificial neural network,Variety (cybernetics),3
Computer science,Cultural heritage,1
Computer science,Image Processing and 3D Reconstruction,1
Computer science,Supervised learning,2
Cultural heritage,Geography,1
Cultural heritage,Image Processing and 3D Reconstruction,1
Cultural heritage,Machine learning,1
Cultural heritage,Supervised learning,1
Cultural heritage,Unsupervised learning,1
Cultural heritage,Variety (cybernetics),1
Geography,Image Processing and 3D Reconstruction,1
Geography,Supervised learning,1
Geography,Unsupervised learning,2
Geography,Variety (cybernetics),1
Image Processing and 3D Reconstruction,Machine learning,1
Image Processing and 3D Reconstruction,Supervised learning,1
Image Processing and 3D Reconstruction,Unsupervised learning,1
Image Processing and 3D Reconstruction,Variety (cybernetics),1
Machine learning,Supervised learning,2
Supervised learning,Unsupervised learning,1
Supervised learning,Variety (cybernetics),1
Unsupervised learning,Variety (cybernetics),1
Advanced Neural Network Applications,Classifier (UML),1
Advanced Neural Network Applications,Computational Science and Engineering,1
Advanced Neural Network Applications,Convolution (computer science),1
Advanced Neural Network Applications,Convolutional neural network,2
Advanced Neural Network Applications,Correlation,1
Advanced Neural Network Applications,Epistemology,1
Advanced Neural Network Applications,Geometry,1
Advanced Neural Network Applications,Mechanism (biology),1
Advanced Neural Network Applications,Medical Imaging and Analysis,1
Advanced Neural Network Applications,Philosophy,1
Advanced Neural Network Applications,Pooling,1
Artificial intelligence,Classifier (UML),4
Artificial intelligence,Computational Science and Engineering,5
Artificial intelligence,Convolution (computer science),3
Artificial intelligence,Correlation,1
Artificial intelligence,Geometry,6
Artificial intelligence,Mechanism (biology),1
Artificial intelligence,Medical Imaging and Analysis,2
Artificial intelligence,Pooling,1
Artificial neural network,Classifier (UML),1
Artificial neural network,Computational Science and Engineering,2
Artificial neural network,Convolution (computer science),3
Artificial neural network,Correlation,1
Artificial neural network,Geometry,1
Artificial neural network,Mechanism (biology),1
Artificial neural network,Medical Imaging and Analysis,2
Artificial neural network,Pooling,1
Brain Tumor Detection and Classification,Classifier (UML),1
Brain Tumor Detection and Classification,Computational Science and Engineering,1
Brain Tumor Detection and Classification,Convolution (computer science),1
Brain Tumor Detection and Classification,Convolutional neural network,1
Brain Tumor Detection and Classification,Correlation,1
Brain Tumor Detection and Classification,Epistemology,1
Brain Tumor Detection and Classification,Geometry,1
Brain Tumor Detection and Classification,Mathematics,1
Brain Tumor Detection and Classification,Mechanism (biology),1
Brain Tumor Detection and Classification,Medical Imaging and Analysis,1
Brain Tumor Detection and Classification,Philosophy,1
Brain Tumor Detection and Classification,Pooling,1
Classifier (UML),Computational Science and Engineering,1
Classifier (UML),Computer science,4
Classifier (UML),Convolution (computer science),1
Classifier (UML),Convolutional neural network,3
Classifier (UML),Correlation,1
Classifier (UML),Deep learning,3
Classifier (UML),Epistemology,2
Classifier (UML),Geometry,1
Classifier (UML),Machine learning,4
Classifier (UML),Mathematics,1
Classifier (UML),Mechanism (biology),1
Classifier (UML),Medical Imaging and Analysis,1
Classifier (UML),Pattern recognition (psychology),3
Classifier (UML),Philosophy,2
Classifier (UML),Pooling,1
Computational Science and Engineering,Computer science,6
Computational Science and Engineering,Convolution (computer science),1
Computational Science and Engineering,Convolutional neural network,2
Computational Science and Engineering,Correlation,1
Computational Science and Engineering,Deep learning,4
Computational Science and Engineering,Epistemology,1
Computational Science and Engineering,Geometry,1
Computational Science and Engineering,Machine learning,6
Computational Science and Engineering,Mathematics,1
Computational Science and Engineering,Mechanism (biology),1
Computational Science and Engineering,Medical Imaging and Analysis,1
Computational Science and Engineering,Pattern recognition (psychology),1
Computational Science and Engineering,Philosophy,1
Computational Science and Engineering,Pooling,1
Computer science,Convolution (computer science),3
